id,image
jayden-williams,"https://www.maddenratings.com/wp-content/uploads/jayden-williams-16379.png"
pj-mustipher,"https://www.maddenratings.com/wp-content/uploads/pj-mustipher-4361421-madden-photo.png"
tip-reiman,"https://www.maddenratings.com/wp-content/uploads/tip-reiman-1072-madden-photo.png"
kitan-crawford,"https://www.maddenratings.com/wp-content/uploads/kitan-crawford-15343-madden-photo.png"
austin-keys,"https://www.maddenratings.com/wp-content/uploads/austin-keys-4429185-madden-photo.png"
xavier-weaver,"https://www.maddenratings.com/wp-content/uploads/xavier-weaver-4428811-madden-photo.png"
hayden-conner,"https://www.maddenratings.com/wp-content/uploads/hayden-conner-15154-madden-photo.png"
joey-blount,"https://www.maddenratings.com/wp-content/uploads/joey-blount-22604-madden-photo.png"
bijan-robinson,"https://www.maddenratings.com/wp-content/uploads/bijan-robinson-22690-madden-photo.png"
teagan-quitoriano,"https://www.maddenratings.com/wp-content/uploads/teagan-quitoriano-22349-madden-photo.png"
kenny-yeboah,"https://www.maddenratings.com/wp-content/uploads/kenny-yeboah-21627-madden-photo.png"
josh-fryar,"https://www.maddenratings.com/wp-content/uploads/josh-fryar-4429782-madden-photo.png"
eku-leota,"https://www.maddenratings.com/wp-content/uploads/eku-leota-22990-madden-photo.png"
drake-london,"https://www.maddenratings.com/wp-content/uploads/drake-london-22068-madden-photo.png"
jessie-bates-iii,"https://www.maddenratings.com/wp-content/uploads/jessie-bates-iii-13202-madden-photo.png"
chris-lindstrom,"https://www.maddenratings.com/wp-content/uploads/chris-lindstrom-20369-madden-photo.png"
aj-terrell-jr,"https://www.maddenratings.com/wp-content/uploads/aj-terrell-jr-21002-madden-photo.png"
jake-matthews,"https://www.maddenratings.com/wp-content/uploads/jake-matthews-12349-madden-photo.png"
divine-deablo,"https://www.maddenratings.com/wp-content/uploads/divine-deablo-21667-madden-photo.png"
kyle-pitts,"https://www.maddenratings.com/wp-content/uploads/kyle-pitts-21565-madden-photo.png"
nick-folk,"https://www.maddenratings.com/wp-content/uploads/nick-folk-28142-madden-photo.png"
kedon-slovis,"https://www.maddenratings.com/wp-content/uploads/kedon-slovis-4428512-madden-photo.png"
ryan-neuzil,"https://www.maddenratings.com/wp-content/uploads/ryan-neuzil-21846-madden-photo.png"
jalon-walker,"https://www.maddenratings.com/wp-content/uploads/jalon-walker-15265-madden-photo.png"
james-pearce-jr,"https://www.maddenratings.com/wp-content/uploads/james-pearce-jr-15202-madden-photo.png"
brian-robinson,"https://www.maddenratings.com/wp-content/uploads/brian-robinson-jr-22055-madden-photo.png"
xavier-watts,"https://www.maddenratings.com/wp-content/uploads/xavier-watts-15331-madden-photo.png"
matthew-bergeron,"https://www.maddenratings.com/wp-content/uploads/matthew-bergeron-22878-madden-photo.png"
jawaan-taylor,"https://www.maddenratings.com/wp-content/uploads/jawaan-taylor-20534-madden-photo.png"
samson-ebukam,"https://www.maddenratings.com/wp-content/uploads/samson-ebukam-12834-madden-photo.png"
austin-hooper,"https://www.maddenratings.com/wp-content/uploads/austin-hooper-17645-madden-photo.png"
avieon-terrell,"https://www.maddenratings.com/wp-content/uploads/madden-nfl-player.png"
clark-phillips-iii,"https://www.maddenratings.com/wp-content/uploads/clark-phillips-iii-23035-madden-photo.png"
mike-hughes,"https://www.maddenratings.com/wp-content/uploads/mike-hughes-13148-madden-photo.png"
jake-bailey,"https://www.maddenratings.com/wp-content/uploads/jake-bailey-20480-madden-photo.png"
billy-bowman-jr,"https://www.maddenratings.com/wp-content/uploads/billy-bowman-jr-15332-madden-photo.png"
dashawn-hand,"https://www.maddenratings.com/wp-content/uploads/dashawn-hand-13241-madden-photo.png"
azeez-ojulari,"https://www.maddenratings.com/wp-content/uploads/azeez-ojulari-21509-madden-photo.png"
michael-penix-jr,"https://www.maddenratings.com/wp-content/uploads/michael-penix-jr-14608-madden-photo.png"
zachariah-branch,"https://www.maddenratings.com/wp-content/uploads/madden-nfl-player.png"
jahan-dotson,"https://www.maddenratings.com/wp-content/uploads/jahan-dotson-22073-madden-photo.png"
zach-harrison,"https://www.maddenratings.com/wp-content/uploads/zach-harrison-22920-madden-photo.png"
mike-ford,"https://www.maddenratings.com/wp-content/uploads/mike-ford-jr-13881-madden-photo.png"
brandon-dorlus,"https://www.maddenratings.com/wp-content/uploads/brandon-dorlus-14768-madden-photo.png"
sydney-brown,"https://www.maddenratings.com/wp-content/uploads/sydney-brown-23081-madden-photo.png"
olamide-zaccheaus,"https://www.maddenratings.com/wp-content/uploads/olamide-zaccheaus-20802-madden-photo.png"
christian-harris,"https://www.maddenratings.com/wp-content/uploads/christian-harris-22405-madden-photo.png"
darnay-holmes,"https://www.maddenratings.com/wp-content/uploads/darnay-holmes-21006-madden-photo.png"
layden-robinson,"https://www.maddenratings.com/wp-content/uploads/layden-robinson-14729-madden-photo.png"
troy-andersen,"https://www.maddenratings.com/wp-content/uploads/troy-andersen-22194-madden-photo.png"
bralen-trice,"https://www.maddenratings.com/wp-content/uploads/bralen-trice-14754-madden-photo.png"
cj-henderson,"https://www.maddenratings.com/wp-content/uploads/cj-henderson.png"
cameron-thomas,"https://www.maddenratings.com/wp-content/uploads/cameron-thomas-22312-madden-photo.png"
kendal-daniels,"https://www.maddenratings.com/wp-content/uploads/madden-nfl-player.png"
matthew-hayball,"https://www.maddenratings.com/wp-content/uploads/matthew-hayball-4571597-madden-photo.png"
demarcco-hellams,"https://www.maddenratings.com/wp-content/uploads/demarcco-hellams-23050-madden-photo.png"
jammie-robinson,"https://www.maddenratings.com/wp-content/uploads/jammie-robinson-23045-madden-photo.png"
jd-bertrand,"https://www.maddenratings.com/wp-content/uploads/jd-bertrand-14915-madden-photo.png"
lacale-london,"https://www.maddenratings.com/wp-content/uploads/lacale-london-21951-madden-photo.png"
maason-smith,"https://www.maddenratings.com/wp-content/uploads/maason-smith-14859-madden-photo.png"
wanya-morris,"https://www.maddenratings.com/wp-content/uploads/wanya-morris-22869-madden-photo.png"
ethan-onianwa,"https://www.maddenratings.com/wp-content/uploads/madden-nfl-player.png"
darren-hall,"https://www.maddenratings.com/wp-content/uploads/darren-hall-21487-madden-photo.png"
tyler-goodson,"https://www.maddenratings.com/wp-content/uploads/tyler-goodson-22325-madden-photo.png"
anterio-thompson,"https://www.maddenratings.com/wp-content/uploads/madden-nfl-player.png"
nate-carter,"https://www.maddenratings.com/wp-content/uploads/nate-carter-4605841-madden-photo.png"
michael-jerrell,"https://www.maddenratings.com/wp-content/uploads/michael-jerrell-1120-madden-photo.png"
channing-tindall,"https://www.maddenratings.com/wp-content/uploads/channing-tindall-22204-madden-photo.png"
dylan-drummond,"https://www.maddenratings.com/wp-content/uploads/Dylan-Drummond-4774.png"
charlie-woerner,"https://www.maddenratings.com/wp-content/uploads/charlie-woerner-21327-madden-photo.png"
cobee-bryant,"https://www.maddenratings.com/wp-content/uploads/cobee-bryant-4429324-madden-photo.png"
corey-levin,"https://www.maddenratings.com/wp-content/uploads/corey-levin-12763-madden-photo.png"
harold-perkins-jr,"https://www.maddenratings.com/wp-content/uploads/madden-nfl-player.png"
brandon-walton,"https://www.maddenratings.com/wp-content/uploads/brandon-walton-22578-madden-photo.png"
james-brockermeyer,"https://www.maddenratings.com/wp-content/uploads/madden-nfl-player.png"
andrew-stueber,"https://www.maddenratings.com/wp-content/uploads/andrew-stueber-22109-madden-photo.png"
liam-mccullough,"https://www.maddenratings.com/wp-content/uploads/liam-mccullough-22504-madden-photo.png"
kyle-hinton,"https://www.maddenratings.com/wp-content/uploads/kyle-hinton-24426-madden-photo.png"
chris-williams,"https://www.maddenratings.com/wp-content/uploads/chris-williams-4034530-madden-photo.png"
storm-norton,"https://www.maddenratings.com/wp-content/uploads/storm-norton-13013-madden-photo.png"
lamar-jackson,"https://www.maddenratings.com/wp-content/uploads/lamar-jackson-13092-madden-photo.png"
derrick-henry,"https://www.maddenratings.com/wp-content/uploads/derrick-henry-17557-madden-photo.png"
jack-nelson,"https://www.maddenratings.com/wp-content/uploads/jack-nelson-15145-madden-photo.png"
natrone-brooks,"https://www.maddenratings.com/wp-content/uploads/natrone-brooks-4689989-madden-photo.png"
roquan-smith,"https://www.maddenratings.com/wp-content/uploads/roquan-smith-13082-madden-photo.png"
kyle-hamilton,"https://www.maddenratings.com/wp-content/uploads/kyle-hamilton-22226-madden-photo.png"
trey-hendrickson,"https://www.maddenratings.com/wp-content/uploads/trey-hendrickson-12692-madden-photo.png"
zay-flowers,"https://www.maddenratings.com/wp-content/uploads/zay-flowers-22768-madden-photo.png"
justin-madubuike,"https://www.maddenratings.com/wp-content/uploads/nnamdi-madubuike-20982-madden-photo.png"
mark-andrews,"https://www.maddenratings.com/wp-content/uploads/mark-andrews-13112-madden-photo.png"
deangelo-malone,"https://www.maddenratings.com/wp-content/uploads/deangelo-malone-22152-madden-photo.png"
chidobe-awuzie,"https://www.maddenratings.com/wp-content/uploads/chidobe-awuzie-12587-madden-photo.png"
ronnie-stanley,"https://www.maddenratings.com/wp-content/uploads/ronnie-stanley-17545-madden-photo.png"
marlon-humphrey,"https://www.maddenratings.com/wp-content/uploads/marlon-humphrey-12544-madden-photo.png"
nate-wiggins,"https://www.maddenratings.com/wp-content/uploads/nate-wiggins-14924-madden-photo.png"
calais-campbell,"https://www.maddenratings.com/wp-content/uploads/calais-campbell-28363-madden-photo.png"
john-simpson,"https://www.maddenratings.com/wp-content/uploads/john-simpson-21103-madden-photo.png"
olaivavega-ioane,"https://www.maddenratings.com/wp-content/uploads/olaivavega-ioane-16217.png"
jaylinn-hawkins,"https://www.maddenratings.com/wp-content/uploads/jaylinn-hawkins-21272-madden-photo.png"
malaki-starks,"https://www.maddenratings.com/wp-content/uploads/malaki-starks-15357-madden-photo.png"
roger-rosengarten,"https://www.maddenratings.com/wp-content/uploads/roger-rosengarten-14733-madden-photo.png"
trenton-simpson,"https://www.maddenratings.com/wp-content/uploads/trenton-simpson-22704-madden-photo.png"
travis-jones,"https://www.maddenratings.com/wp-content/uploads/travis-jones-22179-madden-photo.png"
justice-hill,"https://www.maddenratings.com/wp-content/uploads/justice-hill-20490-madden-photo.png"
rashod-bateman,"https://www.maddenratings.com/wp-content/uploads/rashod-bateman-21584-madden-photo.png"
zion-young,"https://www.maddenratings.com/wp-content/uploads/zion-young-1863.png"
tavius-robinson,"https://www.maddenratings.com/wp-content/uploads/tavius-robinson-23142-madden-photo.png"
tyler-loop,"https://www.maddenratings.com/wp-content/uploads/tyler-loop-15363-madden-photo.png"
john-jenkins,"https://www.maddenratings.com/wp-content/uploads/john-jenkins-1073-madden-photo.png"
andrew-vorhees,"https://www.maddenratings.com/wp-content/uploads/andrew-vorhees-22854-madden-photo.png"
chandler-rivers,"https://www.maddenratings.com/wp-content/uploads/chandler-rivers-16276.png"
mike-green,"https://www.maddenratings.com/wp-content/uploads/mike-green-15200-madden-photo.png"
ryan-eckley,"https://www.maddenratings.com/wp-content/uploads/ryan-eckley-16341.png"
devontez-walker,"https://www.maddenratings.com/wp-content/uploads/devontez-walker-14653-madden-photo.png"
jakobi-lane,"https://www.maddenratings.com/wp-content/uploads/jakobi-lane-10170.png"
adisa-isaac,"https://www.maddenratings.com/wp-content/uploads/adisa-isaac-14769-madden-photo.png"
durham-smythe,"https://www.maddenratings.com/wp-content/uploads/durham-smythe-13291-madden-photo.png"
elijah-sarratt,"https://www.maddenratings.com/wp-content/uploads/elijah-sarratt-16322.png"
kvon-wallace,"https://www.maddenratings.com/wp-content/uploads/kvon-wallace-21167-madden-photo.png"
broderick-washington-jr,"https://www.maddenratings.com/wp-content/uploads/broderick-washington-21339-madden-photo.png"
bilhal-kone,"https://www.maddenratings.com/wp-content/uploads/bilhal-kone-15304-madden-photo.png"
robert-longerbeam,"https://www.maddenratings.com/wp-content/uploads/robert-longerbeam-15324-madden-photo.png"
emery-jones-jr,"https://www.maddenratings.com/wp-content/uploads/emery-jones-jr-15164-madden-photo.png"
nick-moore,"https://www.maddenratings.com/wp-content/uploads/nick-moore-20484-madden-photo.png"
lajohntay-wester,"https://www.maddenratings.com/wp-content/uploads/lajohntay-wester-15100-madden-photo.png"
rasheen-ali,"https://www.maddenratings.com/wp-content/uploads/rasheen-ali-14638-madden-photo.png"
tyler-huntley,"https://www.maddenratings.com/wp-content/uploads/tyler-huntley.png"
tj-tampa,"https://www.maddenratings.com/wp-content/uploads/tj-tampa-14936-madden-photo.png"
amani-oruwariye,"https://www.maddenratings.com/wp-content/uploads/amani-oruwariye-20448-madden-photo.png"
cornelius-johnson,"https://www.maddenratings.com/wp-content/uploads/cornelius-johnson-15018-madden-photo.png"
